"follower_id";"grp"
"1573960711662878722";"frp"
"896009469263572992";"frp"
"1567769572719091713";"frp"
"1393699742568390661";"frp"
"1497579177935089666";"frp"
"1551459003573600256";"frp"
"1565620142113005569";"frp"
"1313087436499693570";"frp"
"1541756481757904897";"frp"
"1389123690";"frp"
"974278966772224000";"frp"
"2512552646";"frp"
"1547809660719153153";"frp"
"1572690730908262400";"frp"
"2199038398";"frp"
"1004217435355058176";"frp"
"1229515035854155776";"frp"
"1572211972829073410";"frp"
"1565728011592384516";"frp"
"328449793";"frp"
"1407787074934263811";"frp"
"2194941727";"frp"
"829319683560046592";"frp"
"370605847";"frp"
"1281883481140867072";"frp"
"535802643";"frp"
"1549639456340299776";"frp"
"1522115687539699712";"frp"
"1571226178819612673";"frp"
"1375767463804215299";"frp"
"985955652949422080";"frp"
"178775785";"frp"
"1570464626285879299";"frp"
"734575718";"frp"
"1193462151484231680";"frp"
"1334246204390125569";"frp"
"1552378394";"frp"
"1156310878360412166";"frp"
"1267163182809964546";"frp"
"437833685";"frp"
"763784342";"frp"
"1569243928821391361";"frp"
"1073242351106174977";"frp"
"1309415580047421441";"frp"
"2764196929";"frp"
"1326282364763447296";"frp"
"1276906004605788160";"frp"
"1568118005443215360";"frp"
"789446489017901061";"frp"
"371926909";"frp"
"2675348322";"frp"
"484087090";"frp"
"1515793208189591557";"frp"
"1432668400359247880";"frp"
"1182253500371292161";"frp"
"874205288";"frp"
"1427514232980090923";"frp"
"1503459671067312131";"frp"
"975876499";"frp"
"1565728755154386944";"frp"
"1565785376224149505";"frp"
"477774609";"frp"
"2436536206";"frp"
"1498537406068318209";"frp"
"1201582677083742211";"frp"
"1538574371744260100";"frp"
"1352240549185646592";"frp"
"840622692701261824";"frp"
"405667972";"frp"
"1268304754255564802";"frp"
"1547601036105228291";"frp"
"1506871037136445444";"frp"
"41291897";"frp"
"1472567619660177413";"frp"
"912619734167965696";"frp"
"396841926";"frp"
"2996508183";"frp"
"3336856965";"frp"
"1561406348398665730";"frp"
"1032944907873345541";"frp"
"1563775308083388416";"frp"
"1030394606";"frp"
"748595969080569856";"frp"
"1507859497724923910";"frp"
"1562869189219471362";"frp"
"1435168926";"frp"
"1295376834146828288";"frp"
"1561436616178257923";"frp"
"806305806";"frp"
"1548067657286463491";"frp"
"1471573575777886216";"frp"
"1474256774190579714";"frp"
"1242879996034719744";"frp"
"1562669780506939392";"frp"
"513738130";"frp"
"1561945914427727873";"frp"
"157372162";"frp"
"1556342683152650240";"frp"
"4185945862";"frp"
"803539173898653697";"frp"
"1425940394525790211";"frp"
"1375015722229895168";"frp"
"3244006108";"frp"
"1503685753905336320";"frp"
"1436854425587486723";"frp"
"2286357617";"frp"
"1044962783069171712";"frp"
"1503995642041049093";"frp"
"2736598541";"frp"
"1389114491993010182";"frp"
"1561371410722918401";"frp"
"386450998";"frp"
"3194069955";"frp"
"1711870381";"frp"
"1247608759750459395";"frp"
"1062347851299282947";"frp"
"1532827404485402624";"frp"
"1214466915634237441";"frp"
"1236301617831518210";"frp"
"1289885820984397825";"frp"
"1438219418690105344";"frp"
"1532650553477668864";"frp"
"1335263434934521857";"frp"
"2371046762";"frp"
"1559422066319044610";"frp"
"1526689164518903809";"frp"
"836685794240774153";"frp"
"1137964687771996165";"frp"
"94167124";"frp"
"2420980908";"frp"
"295946543";"frp"
"270074971";"frp"
"1558413640247742465";"frp"
"1358915466";"frp"
"1221013968";"frp"
"1547291366132224002";"frp"
"1404270697975848960";"frp"
"1111406272107216896";"frp"
"356172215";"frp"
"1366069487104122887";"frp"
"882237866453209088";"frp"
"1470397067130544132";"frp"
"1178743966038155264";"frp"
"934763725747351553";"frp"
"1183648424165609473";"frp"
"1552536413102608385";"frp"
"1548931321648529408";"frp"
"1089477055207624704";"frp"
"1222119711523115009";"frp"
"1552208288997154818";"frp"
"1064548736330883072";"frp"
"199832308";"frp"
"3290290945";"frp"
"1292797487670067209";"frp"
"548364738";"frp"
"1170379071467003905";"frp"
"557292057";"frp"
"940664413836730368";"frp"
"1055380681";"frp"
"1033993296203472896";"frp"
"703914332";"frp"
"827878978564345857";"frp"
"463202055";"frp"
"1381237558521298946";"frp"
"1171313982701023232";"frp"
"3346744223";"frp"
"1279126399295651841";"frp"
"1346147761129992192";"frp"
"1552284229362401280";"frp"
"3002449868";"frp"
"304441399";"frp"
"1545091054843699200";"frp"
"1348762462603116545";"frp"
"1273946245426483201";"frp"
"835929367335350276";"frp"
"1438602316412858371";"frp"
"1324347727346651138";"frp"
"1200570537874993152";"frp"
"4894548701";"frp"
"705272763";"frp"
"1507093166746488834";"frp"
"4766817375";"frp"
"1518671778238902273";"frp"
"1171488243876913153";"frp"
"2651353420";"frp"
"1924482961";"frp"
"4098020415";"frp"
"1162177457992151040";"frp"
"1381311161681985542";"frp"
"902846987879538688";"frp"
"289886083";"frp"
"964633742340968448";"frp"
"1274798846";"frp"
"366598948";"frp"
"1079515672177242112";"frp"
"2158888931";"frp"
"753241254088077314";"frp"
"1291074566488457217";"frp"
"168221993";"frp"
"1522620795192758274";"frp"
"1031789753086222336";"frp"
"396878882";"frp"
"1433760086296600579";"frp"
"2966662942";"frp"
"1369309288859107332";"frp"
"576135107";"frp"
"573961875";"frp"
"1550202847446319105";"frp"
"986577590961000449";"frp"
"1176564264";"frp"
"1510555662580957186";"frp"
"1262686098775556096";"frp"
"1041989831981780992";"frp"
"1467545975258550286";"frp"
"1354055899158081536";"frp"
"1519378496";"frp"
"2391603191";"frp"
"1588071451";"frp"
"1535024138263330831";"frp"
"838478059720310785";"frp"
"348964483";"frp"
"1131814158";"frp"
"1182257447169331201";"frp"
"292244880";"frp"
"966312839437799424";"frp"
"822086596472307712";"frp"
"999404208";"frp"
"1550123427612147714";"frp"
"1172994224691777538";"frp"
"943062774";"frp"
"262587791";"frp"
"1514642480133726211";"frp"
"1171318321943339008";"frp"
"1099057975669477376";"frp"
"1161070486769606656";"frp"
"1452696818740039699";"frp"
"1320089167217524736";"frp"
"734112683667148801";"frp"
"772532983219847168";"frp"
"1171323614974685184";"frp"
"1368986085712396289";"frp"
"1505664602461376516";"frp"
"1504804787803545603";"frp"
"598306418";"frp"
"1134786885807685632";"frp"
"1531313322204749825";"frp"
"1345789107411308544";"frp"
"1060238593640275969";"frp"
"1446493458328391680";"frp"
"1521393762588577795";"frp"
"461259337";"frp"
"4827828166";"frp"
"1175867763723776000";"frp"
"1432331161431416833";"frp"
"310249622";"frp"
"1459827698172407811";"frp"
"53028643";"frp"
"987956892";"frp"
"1253025626317078528";"frp"
"1501081236571361282";"frp"
"1248695935275761670";"frp"
"1217048310902677504";"frp"
"1440794510108213248";"frp"
"628932708";"frp"
"1373051288699691020";"frp"
"719199009273995264";"frp"
"1497689880381603846";"frp"
"1228239373101158400";"frp"
"2200331127";"frp"
"1172956684031078401";"frp"
"2926071502";"frp"
"1542946700217688064";"frp"
"1591463286675046401";"frp"
"951474431267831812";"frp"
"1583773255227346945";"frp"
"1509496250760056840";"frp"
"1053651534901325824";"frp"
"1284555747402174464";"frp"
"1534261861281157121";"frp"
"1172369806831439872";"frp"
"1487826170225864708";"frp"
"1432517894";"frp"
"3978683129";"frp"
"876095223864209409";"frp"
"543682030";"frp"
"948634319861485574";"frp"
"1484128117639860226";"frp"
"704233749517619200";"frp"
"1491029495293394944";"frp"
"1192343650887520256";"frp"
"1594947150944866304";"frp"
"1594798100824072208";"frp"
"253743749";"frp"
"2685872682";"frp"
"1334218464643457027";"frp"
"496448928";"frp"
"1500331537727991814";"frp"
"1029235643711479808";"frp"
"1489370530348244993";"frp"
"1484484193405083649";"frp"
"62117106";"frp"
"1448101862511685639";"frp"
"1441363877208330250";"frp"
"2343158218";"frp"
"1350789839738830851";"frp"
"1186402432131178496";"frp"
"1023970466434834438";"frp"
"1408264764405522432";"frp"
"1409991632808812548";"frp"
"1150302629806911488";"frp"
"934597939";"frp"
"1261055929220562944";"frp"
"950854256239763458";"frp"
"1171268578663944192";"frp"
"899122616069500928";"frp"
"1254323668441796612";"frp"
"955564212";"frp"
"4189760195";"frp"
"1362476701255622657";"frp"
"1645061359";"frp"
"1201855873204834305";"frp"
"843833622570438656";"frp"
"4775770107";"frp"
"3836759307";"frp"
"1171168933996634112";"frp"
"2802811137";"frp"
"916002774407671808";"frp"
"262702883";"frp"
"1218889085793832964";"frp"
"1227023801264812032";"frp"
"1171201455803568129";"frp"
"1171165624262889474";"frp"
"1171189055398264834";"frp"
"1505562009089331205";"frp"
"426792693";"frp"
"1519234527318708224";"frp"
"1407830436945014787";"frp"
"1568594191583780864";"frp"
"1569037990290137089";"frp"
"1380568837783969798";"frp"
"1395322286140440579";"frp"
"1183822986090037248";"frp"
"1538209220348223489";"frp"
"1539709989442490368";"frp"
"1307263849796698112";"frp"
"2157611147";"frp"
"1162823706546245633";"frp"
"1530560766100783107";"frp"
"1504926647371378692";"frp"
"1525929279904747520";"frp"
"1421837292365303810";"frp"
"1521067167818686464";"frp"
"1517193369977593858";"frp"
"1505642095591235588";"frp"
"55201686";"frp"
"1340622559553982466";"frp"
"1447465056011264007";"frp"
"1503833302167429132";"frp"
"1453389223738884096";"frp"
"1425712694598963200";"frp"
"1500714470422810625";"frp"
"1500370941150433282";"frp"
"141677910";"frp"
"3334044130";"frp"
"1446412131725893645";"frp"
"1476981156398747649";"frp"
"372937945";"frp"
"1243305305162866691";"frp"
"328141407";"frp"
"1485391098524717056";"frp"
"1473204891015434240";"frp"
"1445061725976473616";"frp"
"1402604523315683330";"frp"
"1437017212888489988";"frp"
"1167918084964966400";"frp"
"831342686";"frp"
"1479578616736403457";"frp"
"779673493847801856";"frp"
"1452237995168485377";"frp"
"2948429116";"frp"
"1441049688497606660";"frp"
"842503944324694017";"frp"
"907019096805580800";"frp"
"1390653288136290307";"frp"
"3099826691";"frp"
"1129701793645158400";"frp"
"828873613";"frp"
"1291407908723449857";"frp"
"742003808956481536";"frp"
"1456178720306237443";"frp"
"115163907";"frp"
"1455780111320600576";"frp"
"1455173131862253569";"frp"
"1453263460951855119";"frp"
"2767210581";"frp"
"1448787652191346695";"frp"
"1217162005322354689";"frp"
"537334713";"frp"
"1267068624105340928";"frp"
"1150075387302612992";"frp"
"1025143716";"frp"
"562894432";"frp"
"2327615108";"frp"
"1162867459";"frp"
"1363772105905627136";"frp"
"1444600224257826820";"frp"
"1418346492889292801";"frp"
"1257213168541147138";"frp"
"1458223940";"frp"
"1422201492434522113";"frp"
"2786931383";"frp"
"1363805346";"frp"
"226859644";"frp"
"232224783";"frp"
"1272523678140555274";"frp"
"1064500774451986432";"frp"
"1417513571135668224";"frp"
"1389680260128681995";"frp"
"1057735056175841281";"frp"
"1405484316122099713";"frp"
"2834955147";"frp"
"4797297682";"frp"
"1409063461993209858";"frp"
"245490015";"frp"
"1248226266815365121";"frp"
"1291121696162947072";"frp"
"1418842419458682887";"frp"
"78399091";"frp"
"763786548";"frp"
"1207999372069363713";"frp"
"95514032";"frp"
"1408019253282983939";"frp"
"1424716983854112770";"frp"
"879812316291903489";"frp"
"2904916133";"frp"
"1263514950724698115";"frp"
"988400925063761920";"frp"
"1388890937603117069";"frp"
"1395787173992046601";"frp"
"1203013152625049605";"frp"
"776465110856589312";"frp"
"1230882358167035905";"frp"
"1073339297355456512";"frp"
"1379770207217070080";"frp"
"1380949850456530949";"frp"
"482439334";"frp"
"1122113188827488256";"frp"
"1320046562513440774";"frp"
"1132541391928745985";"frp"
"1297089257815908352";"frp"
"1215905192396410882";"frp"
"747604945";"frp"
"1182911748929720321";"frp"
"510570744";"frp"
"1231617972952817664";"frp"
"1320384003246034944";"frp"
"1293543541252272129";"frp"
"1356899519930187777";"frp"
"1315058255228534784";"frp"
"1467602600392630275";"frp"
"1006270515609264132";"frp"
"1299409821851095045";"frp"
"991121316";"frp"
"818030405035159552";"frp"
"231010672";"frp"
"1283500620704620546";"frp"
"1353261469803180032";"frp"
"889075149563154433";"frp"
"1250443323728429057";"frp"
"1276622423366959104";"frp"
"1346879371844452355";"frp"
"953580648660439040";"frp"
"1320054967810560001";"frp"
"1171438338496053268";"frp"
"900752512604672000";"frp"
"563758424";"frp"
"1172077853841809408";"frp"
"1237863517664903173";"frp"
"3860196976";"frp"
"1577729635898593307";"frp"
"1027404487";"frp"
"1374662810341347329";"frp"
"1580844163691675649";"frp"
"1519380198793302018";"frp"
"1582639792348618755";"frp"
"4187410407";"frp"
"1201539923414794240";"frp"
"1337162385006751745";"frp"
"1522684219880878080";"frp"
"1031879690";"frp"
"121892633";"frp"
"1481960500401483776";"frp"
"1186930951928139776";"frp"
"1406737254253465601";"frp"
"363240580";"frp"
"906139590519656448";"frp"
"895699549754470400";"frp"
"448221028";"frp"
"1572398475320467456";"frp"
"2929328939";"frp"
"1438129280395976704";"frp"
"1561783879450742786";"frp"
"1563739235949199361";"frp"
"1430140840974893056";"frp"
"1554981071648948230";"frp"
"1561114223253528577";"frp"
"1338906321786114049";"frp"
"1551955601286201350";"frp"
"1099576889503563776";"frp"
"1239259740347170816";"frp"
"2818974251";"frp"
"1079312357501882368";"frp"
"1551600165433364481";"frp"
"1354083592679419912";"frp"
"128494672";"frp"
"1535754121852391424";"frp"
"1495119671628111876";"frp"
"1052209390865055749";"frp"
"1372959244442595328";"frp"
"200415822";"frp"
"1465596071015555072";"frp"
"1165608388241317889";"frp"
"1519230344221892609";"frp"
"3086717333";"frp"
"1182770761";"frp"
"1280248777312477194";"frp"
"379686861";"frp"
"1348598424724246529";"frp"
"1496138378626142216";"frp"
"1495704271932776448";"frp"
"2400012283";"frp"
"1381018925534699520";"frp"
"1492384608528351232";"frp"
"1435356956387074051";"frp"
"3291841781";"frp"
"1266634908";"frp"
"446626917";"frp"
