"to_id";"from_id"
"ForzaNuova1997";"708106377"
"ForzaNuova1997";"1381992570499309571"
"ForzaNuova1997";"1582116269163167762"
"ForzaNuova1997";"1594937115309129728"
"ForzaNuova1997";"1448618986103508996"
"ForzaNuova1997";"1159259853535293441"
"ForzaNuova1997";"1186178067380748288"
"ForzaNuova1997";"3324494591"
"ForzaNuova1997";"1594105985420992512"
"ForzaNuova1997";"1541961951365955585"
"ForzaNuova1997";"914918174554050560"
"ForzaNuova1997";"1513238362282418186"
"ForzaNuova1997";"1594708391078903810"
"ForzaNuova1997";"1584529519410561025"
"ForzaNuova1997";"1593629342650826753"
"ForzaNuova1997";"1519029745064808449"
"ForzaNuova1997";"1589602567025197057"
"ForzaNuova1997";"1478107225151488003"
"ForzaNuova1997";"4181928441"
"ForzaNuova1997";"997495174187180033"
"ForzaNuova1997";"955020988713926656"
"ForzaNuova1997";"1490428574075133953"
"ForzaNuova1997";"1528817984537518081"
"ForzaNuova1997";"1206019828940771330"
"ForzaNuova1997";"915690073647190017"
"ForzaNuova1997";"791310199"
"ForzaNuova1997";"1594218669328015360"
"ForzaNuova1997";"1311632455867207681"
"ForzaNuova1997";"1517082055334678529"
"ForzaNuova1997";"1594365338463993861"
"ForzaNuova1997";"840545515"
"ForzaNuova1997";"1448377848981565442"
"ForzaNuova1997";"1592165689455960066"
"ForzaNuova1997";"262533672"
"ForzaNuova1997";"1290282555263123458"
"ForzaNuova1997";"567541517"
"ForzaNuova1997";"1572502915893305345"
"ForzaNuova1997";"1593030485390901249"
"ForzaNuova1997";"970127672"
"ForzaNuova1997";"1553200923354308609"
"ForzaNuova1997";"3083993613"
"ForzaNuova1997";"1532696440220393472"
"ForzaNuova1997";"447969821"
"ForzaNuova1997";"1554182409763131394"
"ForzaNuova1997";"1105021068"
"ForzaNuova1997";"936296293881778177"
"ForzaNuova1997";"1570041548707962881"
"ForzaNuova1997";"1398224042461630464"
"ForzaNuova1997";"1547188101092675584"
"ForzaNuova1997";"2761718683"
"ForzaNuova1997";"1445328240311246853"
"ForzaNuova1997";"49328940"
"ForzaNuova1997";"1364667615390662669"
"ForzaNuova1997";"2269535267"
"ForzaNuova1997";"3352968071"
"ForzaNuova1997";"1139099576588222464"
"ForzaNuova1997";"1574795290757963780"
"ForzaNuova1997";"1569244109163872256"
"ForzaNuova1997";"1520120307885002754"
"ForzaNuova1997";"1485419560178180102"
"ForzaNuova1997";"1591850656079437827"
"ForzaNuova1997";"1590753681028390912"
"ForzaNuova1997";"1509571966147215360"
"ForzaNuova1997";"1035641152119156737"
"ForzaNuova1997";"1589373633100759040"
"ForzaNuova1997";"1548297963335663617"
"ForzaNuova1997";"1296478430175911937"
"ForzaNuova1997";"1106308523267444739"
"ForzaNuova1997";"963128695081730048"
"ForzaNuova1997";"1384446301"
"ForzaNuova1997";"1148228227"
"ForzaNuova1997";"1591152562987831296"
"ForzaNuova1997";"1585730212616196101"
"ForzaNuova1997";"1591359257311682560"
"ForzaNuova1997";"1465942796091772932"
"ForzaNuova1997";"1588341700380037120"
"ForzaNuova1997";"1584538171207041024"
"ForzaNuova1997";"1590851859039899650"
"ForzaNuova1997";"1589975332437778438"
"ForzaNuova1997";"1311420488"
"ForzaNuova1997";"69555955"
"ForzaNuova1997";"1490406839221112835"
"ForzaNuova1997";"1169320897922183171"
"ForzaNuova1997";"1588507787943968769"
"ForzaNuova1997";"630252461"
"ForzaNuova1997";"1587177228881780736"
"ForzaNuova1997";"1377485645887725571"
"ForzaNuova1997";"1586114901419954176"
"ForzaNuova1997";"631840181"
"ForzaNuova1997";"1521168143959343107"
"ForzaNuova1997";"1368930354468388873"
"ForzaNuova1997";"1152934612605296642"
"ForzaNuova1997";"1589192874297638913"
"ForzaNuova1997";"1588923619232686080"
"ForzaNuova1997";"3004296887"
"ForzaNuova1997";"1581928578488451072"
"ForzaNuova1997";"1331756676907737090"
"ForzaNuova1997";"1523620798904287233"
"ForzaNuova1997";"1436788122088529920"
"ForzaNuova1997";"1299282796511465472"
"ForzaNuova1997";"1586013363867467777"
"ForzaNuova1997";"1226079704828071938"
"ForzaNuova1997";"1199426124448710658"
"ForzaNuova1997";"1508420668957863937"
"ForzaNuova1997";"1587881704785575942"
"ForzaNuova1997";"515803052"
"ForzaNuova1997";"1587549801066921989"
"ForzaNuova1997";"1128984973963354112"
"ForzaNuova1997";"829216268729344000"
"ForzaNuova1997";"520783531"
"ForzaNuova1997";"1424780762180689923"
"ForzaNuova1997";"1349769151087259652"
"ForzaNuova1997";"1234657409043456000"
"ForzaNuova1997";"1510965404553854984"
"ForzaNuova1997";"1352274610507702276"
"ForzaNuova1997";"1451527520608788492"
"ForzaNuova1997";"56786521"
"ForzaNuova1997";"807118404"
"ForzaNuova1997";"542824095"
"ForzaNuova1997";"1467531907881750531"
"ForzaNuova1997";"993598669"
"ForzaNuova1997";"1587370698774822912"
"ForzaNuova1997";"906253214"
"ForzaNuova1997";"1586718312959983616"
"ForzaNuova1997";"1587077163613933570"
"ForzaNuova1997";"897046338"
"ForzaNuova1997";"229816929"
"ForzaNuova1997";"1333020147997683713"
"ForzaNuova1997";"1492925290682765313"
"ForzaNuova1997";"3270716928"
"ForzaNuova1997";"1479903043982446592"
"ForzaNuova1997";"1554904969421225984"
"ForzaNuova1997";"1505225353626898433"
"ForzaNuova1997";"1522208594896330753"
"ForzaNuova1997";"1586017579830857728"
"ForzaNuova1997";"1578793581678059522"
"ForzaNuova1997";"1575493088159485953"
"ForzaNuova1997";"1586135847174389761"
"ForzaNuova1997";"1583093778671407104"
"ForzaNuova1997";"1419051949392080896"
"ForzaNuova1997";"746067037735256065"
"ForzaNuova1997";"1585896324469342208"
"ForzaNuova1997";"363756283"
"ForzaNuova1997";"712015302855417856"
"ForzaNuova1997";"1582412325092466688"
"ForzaNuova1997";"1403618167029698563"
