"from_id";"to_id"
"1097901351483424769";"NeraRadio"
"1060296492244783104";"NeraRadio"
"1919392430";"NeraRadio"
"1106564155350401029";"NeraRadio"
"968208955548807169";"NeraRadio"
"789790942341529600";"NeraRadio"
"1248290701483421699";"NeraRadio"
"1487826170225864708";"NeraRadio"
"1227690984097665024";"NeraRadio"
"2902891175";"NeraRadio"
"1320635061285343234";"NeraRadio"
"1458012786714365957";"NeraRadio"
"1179527062316601345";"NeraRadio"
"1196430685604663299";"NeraRadio"
"1238789535087169537";"NeraRadio"
"4784127464";"NeraRadio"
"2689819850";"NeraRadio"
"1171438338496053268";"NeraRadio"
"1229498765717000192";"NeraRadio"
"1426417695856205827";"NeraRadio"
"1363452943459041284";"NeraRadio"
"1418596135808217089";"NeraRadio"
"1350429103342628865";"NeraRadio"
"1173340733274767360";"NeraRadio"
"1181450898746347521";"NeraRadio"
"1180029435459842049";"NeraRadio"
"1488881027233759233";"NeraRadio"
"376755862";"NeraRadio"
"1362512287014281217";"NeraRadio"
"1029357876031246336";"NeraRadio"
"345219705";"NeraRadio"
"902846987879538688";"NeraRadio"
"1334587262689009664";"NeraRadio"
"1156576344";"NeraRadio"
"1465105928336945155";"NeraRadio"
"1487159669638508547";"NeraRadio"
"1128720197211361280";"NeraRadio"
"471318567";"NeraRadio"
"609501906";"NeraRadio"
"385101222";"NeraRadio"
"1181268211024744455";"NeraRadio"
"943186928";"NeraRadio"
"1161009168171618306";"NeraRadio"
"1487780874510909443";"NeraRadio"
"1363947454908018696";"NeraRadio"
"1367036878172602369";"NeraRadio"
"363068630";"NeraRadio"
"749988431472783360";"NeraRadio"
"1486403449310916612";"NeraRadio"
"539880793";"NeraRadio"
"1467276870785945602";"NeraRadio"
"1293171251565989888";"NeraRadio"
"1032947808";"NeraRadio"
"1380460150637625344";"NeraRadio"
"1206192536";"NeraRadio"
"1396896556381581315";"NeraRadio"
"1399228011032072193";"NeraRadio"
"1430645461225033728";"NeraRadio"
"1465943588618002440";"NeraRadio"
"1367022097529266177";"NeraRadio"
"1347624410614784001";"NeraRadio"
"1481710765858078722";"NeraRadio"
"1485597389360611338";"NeraRadio"
"864948849894461441";"NeraRadio"
"931887228204339201";"NeraRadio"
"994246141855322114";"NeraRadio"
"96186373";"NeraRadio"
"705272763";"NeraRadio"
"1473272374715994115";"NeraRadio"
"1255636969419309058";"NeraRadio"
"1487097463206993930";"NeraRadio"
"1478879330633715747";"NeraRadio"
"2244592586";"NeraRadio"
"1480060079433043968";"NeraRadio"
"1224412433672032258";"NeraRadio"
"819904596";"NeraRadio"
"1442864920819748868";"NeraRadio"
"1481581966751420417";"NeraRadio"
"4061801279";"NeraRadio"
"1461702162296287236";"NeraRadio"
"1469352768423047170";"NeraRadio"
"1365044912165683200";"NeraRadio"
"1381237558521298946";"NeraRadio"
"890215721363525633";"NeraRadio"
"1364303519222804487";"NeraRadio"
"1362498028519702530";"NeraRadio"
"1363760127162089472";"NeraRadio"
"1100923326";"NeraRadio"
"1094863968617857024";"NeraRadio"
"1450364319359766528";"NeraRadio"
"2210932332";"NeraRadio"
"1173306071273881600";"NeraRadio"
"1375428727480463367";"NeraRadio"
"1066465742";"NeraRadio"
"1379703333557051392";"NeraRadio"
"4202067873";"NeraRadio"
"1404270697975848960";"NeraRadio"
"958262333326970881";"NeraRadio"
"2583015333";"NeraRadio"
"1382864761394757634";"NeraRadio"
"1313087436499693570";"NeraRadio"
"1444119785730674689";"NeraRadio"
"1486348860398223361";"NeraRadio"
"62117106";"NeraRadio"
"1317493864375197698";"NeraRadio"
"958143176";"NeraRadio"
"927122457894453248";"NeraRadio"
"1405932457376030724";"NeraRadio"
"766182816094748672";"NeraRadio"
"1313057401856294912";"NeraRadio"
"1478337754325041152";"NeraRadio"
"1366493846192939012";"NeraRadio"
"1334218464643457027";"NeraRadio"
"826706733867335680";"NeraRadio"
"960988251220783104";"NeraRadio"
"1657857462";"NeraRadio"
"1299282796511465472";"NeraRadio"
"1001557247963648000";"NeraRadio"
"1480539214152404999";"NeraRadio"
"1196810995911528448";"NeraRadio"
